from	to
e20b1678ae31e02a1b16693852328c77a4913b72	0cdb34e6a4d635142bb92fe403d38f636bbb77b8
6e809aadf0e4686322d53c611e9facf9cfb0f636	13006e447608bb62383d1d59bb11a93e957be7cf
7bf6945430017aefea7dd0cd450382aae01220f5	13006e447608bb62383d1d59bb11a93e957be7cf
45345ea372e3da5753684b546682ba035a3f7cec	13006e447608bb62383d1d59bb11a93e957be7cf
1d3f689dea4105029ebb8e8f6cad3a6efbf43fd0	13006e447608bb62383d1d59bb11a93e957be7cf
4685db8bf2df743c861d71e6cfb5347222992076	4b91827516f79d6f6a1f292ed99671663b09169a
537a684be8f528172a68c987c15ff45a4c82ebb2	c316e05be8c3b688c0276be3149010391e8a58e6
a456c36582ad81ca6091dd78e0c97ba309ff11e9	02b97fec5023f321865155304c71aa0c3db25d29
e58447a964cf024d4937f53c884e4e6fc4a0514f	342433010665645177648141e12efc3138625cb0
e98538a0e8c2871c2482e1be8cc6bd9f8e8ffd63	4b91827516f79d6f6a1f292ed99671663b09169a
1c4eda5e2be9055126b9833db4ea99a30822f751	13006e447608bb62383d1d59bb11a93e957be7cf
c1659aaad93c1dcc4cc62d5d0c9f0e0da6229536	13006e447608bb62383d1d59bb11a93e957be7cf
f2415cdb4a4a45af77d7dd77154a245f37cdc449	13006e447608bb62383d1d59bb11a93e957be7cf
19c4016b667f8f049a6d0b93855141dab341f44d	86ac462eb1524efd9652e5833f844232da3ddde5
21979d8e139cf5344f9a6858196126b9b6d96d88	5b3ef7ed14ab4a240b8290d86a5b1e662e1d618c
5bbe36152d3cd3eb7183a82470b39b29eedf068b	d2fd442a68cc17a967e31b4712df110a6d0ff513
7dc028d840923ecfa8a1c088700e474e3214b52f	f4cbb755be3c9eec013f67dbc1896efccbefcd2a
9e7dba478ff82243d07bc88a74319c0e35c802b1	f95aa110636f466ddec95598e6c661b921243665
fea4e5869b38815533044fa08baafcb87354e66f	46fe7ee7c4e15406ae79e09b7087a61ba1725ba2
f97365034279d638d0094edc638075096bcbf373	13006e447608bb62383d1d59bb11a93e957be7cf
ec730ca6e0555626bfc641c8465d2b5335f41c89	13006e447608bb62383d1d59bb11a93e957be7cf
5071e29f49f9b008267d2ed76d54b32d91695cde	3202b5b0602274197ccb22b8c02cec9539990c7c
525c9c957f6b5796d0521b5c04313a8466e2a4c1	776e273eef19cf80c1ea17b193fc86c3b581995a
737483bc858d6bb66962e27a4bd8612cca818d37	e86a0f19e06146d1c30bb37607d549077b3541b2
87393be8ac323f2e63520a6184e5a8a9cc9fc051	36e655069464be6202e0e4d5ee9f76034c0ad9b6
3b3bca3d0296f3e3a2a10197bdb8515ddf59f2eb	13006e447608bb62383d1d59bb11a93e957be7cf
306b5c7475b97bf6df43dfed00a268e5ddcae75e	13006e447608bb62383d1d59bb11a93e957be7cf
b962865acc35256db89edf5c25da1988326f939d	13006e447608bb62383d1d59bb11a93e957be7cf
81a97753bfb5c7abb0c010d0818525a04c00507d	d5b237276090ff3a45338c8e2b3585183101fca0
88f9518919f051f0845a34b793897a941d84d43a	ae38e358f871aae431a74c82e53fe81e0a13deb9
bb1ec617b78c37cbcee70db445c608551e8f2564	5b3ef7ed14ab4a240b8290d86a5b1e662e1d618c
df8f9a7f1f8eb645dc3c95354d2c909c2fdaf0e3	0cdb34e6a4d635142bb92fe403d38f636bbb77b8
171fe286746d863ec0d31090689a8f9ad52a8ebe	776e273eef19cf80c1ea17b193fc86c3b581995a
18169ee0ced9aa744f3cd01adc6e2eb2e8fb0087	5de069482ac1db318082477b7b87d59dfb313f91
5b2b6a36ed514eb02aa8c61e18ea75a5b4520159	a3594a4bd05bbefb213ba88e3b969207365d9e81
772b4fb7c9c221be324df548b295ccfaecd9941b	aa41ca850323660e85af507548449f3aba2b5a19
4c46fecc566a196cd3196d19899d9a9d73df5b56	13006e447608bb62383d1d59bb11a93e957be7cf
36c930feceb25dc4418438d171c4a4dbf6712896	13006e447608bb62383d1d59bb11a93e957be7cf
dd10e17afa24bd6ed9cf8650c631c5df8e7fa290	13006e447608bb62383d1d59bb11a93e957be7cf
